Platform,Account,Handle_or_URL,Followers,Posts_Total,Avg_Likes_Last5,Avg_Comments_Last5,Recent_Posts_JSON,Extra,Collected_At
Instagram,BBC Türkçe,bbcturkce,1358713,6875,3192,100,"[{""shortcode"": ""DO3RJZrj59t"", ""likes"": 5090, ""comments"": 74}, {""shortcode"": ""DO2ntn2iAVO"", ""likes"": 2016, ""comments"": 25}, {""shortcode"": ""DO1A7m3DEJc"", ""likes"": 3270, ""comments"": 81}, {""shortcode"": ""DOz8N7OE_cx"", ""likes"": 3067, ""comments"": 171}, {""shortcode"": ""DOymcuWkecz"", ""likes"": 2519, ""comments"": 151}]",,2025-09-22T11:03:03
Instagram,BBC_archive,bbc_archive,596377,3063,3962,62,"[{""shortcode"": ""DO5TftQDJSO"", ""likes"": 1085, ""comments"": 21}, {""shortcode"": ""DO2uxrmgQ-H"", ""likes"": 902, ""comments"": 21}, {""shortcode"": ""DO0J54VDGKh"", ""likes"": 4786, ""comments"": 105}, {""shortcode"": ""DOyHUZNkpVy"", ""likes"": 921, ""comments"": 14}, {""shortcode"": ""DOxlKCYiLAI"", ""likes"": 12114, ""comments"": 149}]",,2025-09-22T11:03:06
Instagram,DiasporaTürk,diasporaturk,113223,1982,2374,47,"[{""shortcode"": ""C3GKbYYoOih"", ""likes"": 1335, ""comments"": 31}, {""shortcode"": ""CpumJRVok_c"", ""likes"": 1909, ""comments"": 31}, {""shortcode"": ""CjaUW5jIuBn"", ""likes"": 3422, ""comments"": 77}, {""shortcode"": ""DO0nDIyjaGI"", ""likes"": 2564, ""comments"": 41}, {""shortcode"": ""DOlE1ogDYUl"", ""likes"": 2638, ""comments"": 56}]",,2025-09-22T11:03:08
Instagram,Tarih Dergi,tarihdergi,87105,5997,200,16,"[{""shortcode"": ""DHuwGz_CSrd"", ""likes"": 365, ""comments"": 55}, {""shortcode"": ""DHthr76CuXx"", ""likes"": 149, ""comments"": 2}, {""shortcode"": ""DHso9Uaihu1"", ""likes"": 184, ""comments"": 2}, {""shortcode"": ""DHqGdR_iDGh"", ""likes"": 230, ""comments"": 3}, {""shortcode"": ""DHnqBMpiDVe"", ""likes"": 73, ""comments"": null}]",,2025-09-22T11:03:11
Instagram,Derin Tarih,derintarih,572866,4760,1739,11,"[{""shortcode"": ""DOD24CPjdZk"", ""likes"": 331, ""comments"": 3}, {""shortcode"": ""DO3OzMqDTdZ"", ""likes"": 1128, ""comments"": 3}, {""shortcode"": ""DO1E4wPDQ6S"", ""likes"": 607, ""comments"": 1}, {""shortcode"": ""DO0oYHnDTdK"", ""likes"": 3117, ""comments"": 41}, {""shortcode"": ""DOzBA2ADfdo"", ""likes"": 3513, ""comments"": 6}]",,2025-09-22T11:03:14
Instagram,Atlas Tarih Dergisi,atlastarihdergisi,15472,306,60,5,"[{""shortcode"": ""DOREtlEjCkq"", ""likes"": 114, ""comments"": 5}, {""shortcode"": ""DO3zbCcgcxC"", ""likes"": 38, ""comments"": null}, {""shortcode"": ""DOypySQDe4G"", ""likes"": 39, ""comments"": null}, {""shortcode"": ""DOq7flsCGi-"", ""likes"": 34, ""comments"": null}, {""shortcode"": ""DOlx0Fhjt1n"", ""likes"": 75, ""comments"": null}]",,2025-09-22T11:03:18
Instagram,Arsivden.sahne,arsivden.sahne,8376,74,74,3,"[{""shortcode"": ""CYjnFg5pbrK"", ""likes"": 31, ""comments"": null}, {""shortcode"": ""CYOeT2UJ3sK"", ""likes"": 52, ""comments"": 1}, {""shortcode"": ""CX9mHm2JGtN"", ""likes"": 63, ""comments"": null}, {""shortcode"": ""CXlhQX5IxBL"", ""likes"": 136, ""comments"": null}, {""shortcode"": ""CXbJGoNIPwS"", ""likes"": 88, ""comments"": 5}]",,2025-09-22T11:03:20
Instagram,32 Gün Arşivi,32gunarsivi,164593,2312,2600,24,"[{""shortcode"": ""C2Mfqsxs-JY"", ""likes"": 8953, ""comments"": 67}, {""shortcode"": ""C2M2s0nBjoZ"", ""likes"": 1805, ""comments"": 17}, {""shortcode"": ""C0oGGEEC5v6"", ""likes"": 1748, ""comments"": 24}, {""shortcode"": ""DOtgL-6Ab-X"", ""likes"": 330, ""comments"": 5}, {""shortcode"": ""DOslHbNEw6K"", ""likes"": 164, ""comments"": 5}]",,2025-09-22T11:03:27
Instagram,Pathe Films,pathefilms,135465,4130,1238,10,"[{""shortcode"": ""DO5aTw8iHbJ"", ""likes"": 8, ""comments"": 1}, {""shortcode"": ""DOyVSNvCIpo"", ""likes"": 830, ""comments"": 5}, {""shortcode"": ""DOtc1L-CCFj"", ""likes"": 161, ""comments"": null}, {""shortcode"": ""DOtCrgPjIda"", ""likes"": 4839, ""comments"": 31}, {""shortcode"": ""DOsiYLlCSc3"", ""likes"": 351, ""comments"": 4}]",,2025-09-22T11:03:30
Instagram,Arsiv.unutmaz,arsiv.unutmaz,606,35,42,2,"[{""shortcode"": ""BY5eamdl0qJ"", ""likes"": 50, ""comments"": 2}, {""shortcode"": ""BYQQhfPl5fZ"", ""likes"": 28, ""comments"": null}, {""shortcode"": ""BYL4tSoFeeb"", ""likes"": 54, ""comments"": 4}, {""shortcode"": ""BYL4kw4lCSj"", ""likes"": 45, ""comments"": 1}, {""shortcode"": ""BYJVIfwFX1z"", ""likes"": 32, ""comments"": null}]",,2025-09-22T11:03:35
