Platform,Account,Handle_or_URL,Followers,Posts_Total,Avg_Likes_Last5,Avg_Comments_Last5,Recent_Posts_JSON,Extra,Collected_At
Instagram,BBC Türkçe,bbcturkce,1358714,6875,3211,101,"[{""shortcode"": ""DO3RJZrj59t"", ""likes"": 5155, ""comments"": 78}, {""shortcode"": ""DO2ntn2iAVO"", ""likes"": 2025, ""comments"": 25}, {""shortcode"": ""DO1A7m3DEJc"", ""likes"": 3279, ""comments"": 81}, {""shortcode"": ""DOz8N7OE_cx"", ""likes"": 3072, ""comments"": 171}, {""shortcode"": ""DOymcuWkecz"", ""likes"": 2524, ""comments"": 151}]",,2025-09-22T11:25:10
Instagram,BBC_archive,bbc_archive,596379,3063,4019,63,"[{""shortcode"": ""DO5TftQDJSO"", ""likes"": 1337, ""comments"": 25}, {""shortcode"": ""DO2uxrmgQ-H"", ""likes"": 906, ""comments"": 21}, {""shortcode"": ""DO0J54VDGKh"", ""likes"": 4796, ""comments"": 105}, {""shortcode"": ""DOyHUZNkpVy"", ""likes"": 923, ""comments"": 14}, {""shortcode"": ""DOxlKCYiLAI"", ""likes"": 12132, ""comments"": 149}]",,2025-09-22T11:25:15
Instagram,DiasporaTürk,diasporaturk,113224,1982,2377,47,"[{""shortcode"": ""C3GKbYYoOih"", ""likes"": 1335, ""comments"": 31}, {""shortcode"": ""CpumJRVok_c"", ""likes"": 1909, ""comments"": 31}, {""shortcode"": ""CjaUW5jIuBn"", ""likes"": 3422, ""comments"": 77}, {""shortcode"": ""DO0nDIyjaGI"", ""likes"": 2580, ""comments"": 42}, {""shortcode"": ""DOlE1ogDYUl"", ""likes"": 2639, ""comments"": 56}]",,2025-09-22T11:25:19
Instagram,Tarih Dergi,tarihdergi,87105,5997,200,16,"[{""shortcode"": ""DHuwGz_CSrd"", ""likes"": 365, ""comments"": 55}, {""shortcode"": ""DHthr76CuXx"", ""likes"": 149, ""comments"": 2}, {""shortcode"": ""DHso9Uaihu1"", ""likes"": 184, ""comments"": 2}, {""shortcode"": ""DHqGdR_iDGh"", ""likes"": 230, ""comments"": 3}, {""shortcode"": ""DHnqBMpiDVe"", ""likes"": 73, ""comments"": null}]",,2025-09-22T11:25:23
Instagram,Derin Tarih,derintarih,572870,4760,1743,11,"[{""shortcode"": ""DOD24CPjdZk"", ""likes"": 331, ""comments"": 3}, {""shortcode"": ""DO3OzMqDTdZ"", ""likes"": 1137, ""comments"": 3}, {""shortcode"": ""DO1E4wPDQ6S"", ""likes"": 607, ""comments"": 1}, {""shortcode"": ""DO0oYHnDTdK"", ""likes"": 3123, ""comments"": 41}, {""shortcode"": ""DOzBA2ADfdo"", ""likes"": 3516, ""comments"": 6}]",,2025-09-22T11:25:28
Instagram,Atlas Tarih Dergisi,atlastarihdergisi,15473,306,60,5,"[{""shortcode"": ""DOREtlEjCkq"", ""likes"": 114, ""comments"": 5}, {""shortcode"": ""DO3zbCcgcxC"", ""likes"": 38, ""comments"": null}, {""shortcode"": ""DOypySQDe4G"", ""likes"": 39, ""comments"": null}, {""shortcode"": ""DOq7flsCGi-"", ""likes"": 34, ""comments"": null}, {""shortcode"": ""DOlx0Fhjt1n"", ""likes"": 75, ""comments"": null}]",,2025-09-22T11:25:30
Instagram,Arsivden.sahne,arsivden.sahne,8376,74,74,3,"[{""shortcode"": ""CYjnFg5pbrK"", ""likes"": 31, ""comments"": null}, {""shortcode"": ""CYOeT2UJ3sK"", ""likes"": 52, ""comments"": 1}, {""shortcode"": ""CX9mHm2JGtN"", ""likes"": 63, ""comments"": null}, {""shortcode"": ""CXlhQX5IxBL"", ""likes"": 136, ""comments"": null}, {""shortcode"": ""CXbJGoNIPwS"", ""likes"": 88, ""comments"": 5}]",,2025-09-22T11:25:33
Instagram,32 Gün Arşivi,32gunarsivi,164593,2312,2600,24,"[{""shortcode"": ""C2Mfqsxs-JY"", ""likes"": 8953, ""comments"": 67}, {""shortcode"": ""C2M2s0nBjoZ"", ""likes"": 1805, ""comments"": 17}, {""shortcode"": ""C0oGGEEC5v6"", ""likes"": 1748, ""comments"": 24}, {""shortcode"": ""DOtgL-6Ab-X"", ""likes"": 331, ""comments"": 5}, {""shortcode"": ""DOslHbNEw6K"", ""likes"": 164, ""comments"": 5}]",,2025-09-22T11:25:37
Instagram,Pathe Films,pathefilms,135465,4130,1246,10,"[{""shortcode"": ""DO5aTw8iHbJ"", ""likes"": 43, ""comments"": 1}, {""shortcode"": ""DOyVSNvCIpo"", ""likes"": 830, ""comments"": 5}, {""shortcode"": ""DOtc1L-CCFj"", ""likes"": 162, ""comments"": null}, {""shortcode"": ""DOtCrgPjIda"", ""likes"": 4841, ""comments"": 31}, {""shortcode"": ""DOsiYLlCSc3"", ""likes"": 352, ""comments"": 4}]",,2025-09-22T11:25:41
Instagram,Arsiv.unutmaz,arsiv.unutmaz,606,35,42,2,"[{""shortcode"": ""BY5eamdl0qJ"", ""likes"": 50, ""comments"": 2}, {""shortcode"": ""BYQQhfPl5fZ"", ""likes"": 28, ""comments"": null}, {""shortcode"": ""BYL4tSoFeeb"", ""likes"": 54, ""comments"": 4}, {""shortcode"": ""BYL4kw4lCSj"", ""likes"": 45, ""comments"": 1}, {""shortcode"": ""BYJVIfwFX1z"", ""likes"": 32, ""comments"": null}]",,2025-09-22T11:25:45
TikTok,rotasizseyyah,rotasizseyyah,4448,,,,,likes_total=49900,2025-09-22T11:25:59
TikTok,natgeo,natgeo,9200000,,,,,likes_total=42700000,2025-09-22T11:26:07
TikTok,dmaxtr,dmaxtr,190500,,,,,likes_total=1500000,2025-09-22T11:26:13
TikTok,animalplanet,animalplanet,1700000,,,,,likes_total=28000000,2025-09-22T11:26:19
TikTok,natgeowild,natgeowild,1,,,,,likes_total=0,2025-09-22T11:26:26
TikTok,bbcearth,bbcearth,533100,,,,,likes_total=9300000,2025-09-22T11:26:33
TikTok,discovery,discovery,7000000,,,,,likes_total=91200000,2025-09-22T11:26:38
TikTok,tac_turkiye,tac_turkiye,,,,,,,2025-09-22T11:27:12
Facebook,BBC Archive,https://mbasic.facebook.com/BBCArchive/,3300000,,,,,,2025-09-22T11:27:24
Facebook,BBC Türkçe,https://mbasic.facebook.com/bbcnewsturkceservisi/,1600000,,,,,,2025-09-22T11:27:34
Facebook,32.Gün Arşivi,https://mbasic.facebook.com/32gunarsivi/,261000,,,,,,2025-09-22T11:27:46
Facebook,Tarih Arşivi,https://mbasic.facebook.com/tariharsivi/,118000,,,,,,2025-09-22T11:27:57
Facebook,Derin Tarih,https://mbasic.facebook.com/DerinTarih/,869000,,,,,,2025-09-22T11:28:08
Facebook,Atlas Tarih,https://mbasic.facebook.com/atlastarihdergi/,7600,,,,,,2025-09-22T11:28:16
Facebook,Nostalji Kahvesi,https://mbasic.facebook.com/pages/Nostalji-Kahvesi/36954382601,,,,,,,2025-09-22T11:28:23
